database,collection,path,parent_path,depth,documents_scanned_for_schema,documents_with_field,presence_ratio_in_scan,observed_required_in_scan,occurrences,non_null_occurrences,types,examples,scan_mode,estimated_document_count
local,startup_log,buildinfo.versionArray,buildinfo,1,5,5,1.0,True,5,5,array,"[7, 0, 30, 0]",full,5
local,startup_log,buildinfo.versionArray[],buildinfo.versionArray,2,5,5,1.0,True,20,20,int,7 || 0 || 30,full,5
local,startup_log,cmdLine,,0,5,5,1.0,True,5,5,object,"{""net"": {""bindIp"": ""127.0.0.1"", ""port"": 27017, ""tls"": {""mode"": ""disabled""}}, ""processManagement"": {""fork"": true, ""pidFilePath"": ""/tmp/docker-entrypoint-temp-mongod.pid""}, ""storage"": {""wiredTiger"": {""engineConfig"": {""cacheSizeGB"": 2.0}}},... || {""net"": {""bindIp"": ""*""}, ""security"": {""authorization"": ""enabled""}, ""storage"": {""wiredTiger"": {""engineConfig"": {""cacheSizeGB"": 2.0}}}}",full,5
local,startup_log,cmdLine.net,cmdLine,1,5,5,1.0,True,5,5,object,"{""bindIp"": ""127.0.0.1"", ""port"": 27017, ""tls"": {""mode"": ""disabled""}} || {""bindIp"": ""*""}",full,5
local,startup_log,cmdLine.net.bindIp,cmdLine.net,2,5,5,1.0,True,5,5,string,"""127.0.0.1"" || ""*""",full,5
local,startup_log,cmdLine.net.port,cmdLine.net,2,5,1,0.2,False,1,1,int,27017,full,5
local,startup_log,cmdLine.net.tls,cmdLine.net,2,5,1,0.2,False,1,1,object,"{""mode"": ""disabled""}",full,5
local,startup_log,cmdLine.net.tls.mode,cmdLine.net.tls,3,5,1,0.2,False,1,1,string,"""disabled""",full,5
local,startup_log,cmdLine.processManagement,cmdLine,1,5,1,0.2,False,1,1,object,"{""fork"": true, ""pidFilePath"": ""/tmp/docker-entrypoint-temp-mongod.pid""}",full,5
local,startup_log,cmdLine.processManagement.fork,cmdLine.processManagement,2,5,1,0.2,False,1,1,bool,true,full,5
local,startup_log,cmdLine.processManagement.pidFilePath,cmdLine.processManagement,2,5,1,0.2,False,1,1,string,"""/tmp/docker-entrypoint-temp-mongod.pid""",full,5
local,startup_log,cmdLine.security,cmdLine,1,5,4,0.8,False,4,4,object,"{""authorization"": ""enabled""}",full,5
local,startup_log,cmdLine.security.authorization,cmdLine.security,2,5,4,0.8,False,4,4,string,"""enabled""",full,5
local,startup_log,cmdLine.storage,cmdLine,1,5,5,1.0,True,5,5,object,"{""wiredTiger"": {""engineConfig"": {""cacheSizeGB"": 2.0}}}",full,5
local,startup_log,cmdLine.storage.wiredTiger,cmdLine.storage,2,5,5,1.0,True,5,5,object,"{""engineConfig"": {""cacheSizeGB"": 2.0}}",full,5
local,startup_log,cmdLine.storage.wiredTiger.engineConfig,cmdLine.storage.wiredTiger,3,5,5,1.0,True,5,5,object,"{""cacheSizeGB"": 2.0}",full,5
local,startup_log,cmdLine.storage.wiredTiger.engineConfig.cacheSizeGB,cmdLine.storage.wiredTiger.engineConfig,4,5,5,1.0,True,5,5,double,2.0,full,5
local,startup_log,cmdLine.systemLog,cmdLine,1,5,1,0.2,False,1,1,object,"{""destination"": ""file"", ""logAppend"": true, ""path"": ""/proc/1/fd/1""}",full,5
local,startup_log,cmdLine.systemLog.destination,cmdLine.systemLog,2,5,1,0.2,False,1,1,string,"""file""",full,5
local,startup_log,cmdLine.systemLog.logAppend,cmdLine.systemLog,2,5,1,0.2,False,1,1,bool,true,full,5
local,startup_log,cmdLine.systemLog.path,cmdLine.systemLog,2,5,1,0.2,False,1,1,string,"""/proc/1/fd/1""",full,5
local,startup_log,hostname,,0,5,5,1.0,True,5,5,string,"""02f45e4d741e"" || ""b12b5d1b86ac"" || ""aa8895121acf""",full,5
local,startup_log,pid,,0,5,5,1.0,True,5,5,int,28 || 1,full,5
local,startup_log,startTime,,0,5,5,1.0,True,5,5,date,"{""$date"": ""2026-03-02T21:14:23Z""} || {""$date"": ""2026-03-02T21:14:26Z""} || {""$date"": ""2026-03-10T03:26:47Z""}",full,5
local,startup_log,startTimeLocal,,0,5,5,1.0,True,5,5,string,"""Mon Mar 2 22:14:23.935"" || ""Mon Mar 2 22:14:26.930"" || ""Tue Mar 10 04:26:47.713""",full,5
quants_lab,candle_features,_id,,0,5000,5000,1.0,True,5000,5000,objectId,"{""$oid"": ""69b8c36cf7f2f0931fa02495""} || {""$oid"": ""69b8c36cf7f2f0931fa02496""} || {""$oid"": ""69b8c36cf7f2f0931fa02497""}",sample,1313227
quants_lab,candle_features,ask_top_qty,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,base_asset,,0,5000,5000,1.0,True,5000,5000,string,"""ETH"" || ""XNV"" || ""GHOST""",sample,1313227
quants_lab,candle_features,best_ask,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,best_bid,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,bid_top_qty,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,book_event_count,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,book_is_stale,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,book_staleness_ms,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,buy_base_volume,,0,5000,5000,1.0,True,5000,5000,double,0.0 || 4.58118 || 10.61649,sample,1313227
quants_lab,candle_features,buy_quote_volume,,0,5000,5000,1.0,True,5000,5000,double,0.0 || 10775.4851016 || 25007.7391388,sample,1313227
quants_lab,candle_features,buy_trade_count,,0,5000,5000,1.0,True,5000,5000,int,0 || 1 || 4,sample,1313227
quants_lab,candle_features,close_ts,,0,5000,5000,1.0,True,5000,5000,int,1773716280 || 1773716220 || 1773716160,sample,1313227
quants_lab,candle_features,connector,,0,5000,5000,1.0,True,5000,5000,string,"""nonkyc"" || ""mexc""",sample,1313227
quants_lab,candle_features,features_partially_missing,,0,5000,5000,1.0,True,5000,5000,bool,false,sample,1313227
quants_lab,candle_features,imbalance_top1,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,imbalance_top5,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,ingested_at,,0,5000,5000,1.0,True,5000,5000,int,1773716332 || 1773716362 || 1773716422,sample,1313227
quants_lab,candle_features,interval,,0,5000,5000,1.0,True,5000,5000,string,"""1m"" || ""5m""",sample,1313227
quants_lab,candle_features,is_closed,,0,5000,5000,1.0,True,5000,5000,bool,true,sample,1313227
quants_lab,candle_features,is_synthetic,,0,5000,5000,1.0,True,5000,5000,bool,false,sample,1313227
quants_lab,candle_features,max_trade_size_base,,0,5000,5000,1.0,True,5000,5000,double,5.37018 || 4.58118 || 5.54756,sample,1313227
quants_lab,candle_features,max_trade_size_quote,,0,5000,5000,1.0,True,5000,5000,double,12633.0262392 || 10775.4851016 || 13068.387091999999,sample,1313227
quants_lab,candle_features,microprice,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,mid_price,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,no_trade_interval,,0,5000,5000,1.0,True,5000,5000,bool,false,sample,1313227
quants_lab,candle_features,open_ts,,0,5000,5000,1.0,True,5000,5000,int,1773716220 || 1773716160 || 1773716100,sample,1313227
quants_lab,candle_features,qc_flags,,0,5000,5000,1.0,True,5000,5000,array,[],sample,1313227
quants_lab,candle_features,quote_asset,,0,5000,5000,1.0,True,5000,5000,string,"""USDT"" || ""XMR"" || ""BTC""",sample,1313227
quants_lab,candle_features,schema_version,,0,5000,5000,1.0,True,5000,5000,int,1,sample,1313227
quants_lab,candle_features,sell_base_volume,,0,5000,5000,1.0,True,5000,5000,double,13.35521 || 3.48743 || 4.3369,sample,1313227
quants_lab,candle_features,sell_quote_volume,,0,5000,5000,1.0,True,5000,5000,double,31417.1939007 || 8199.436170199999 || 10223.374370000001,sample,1313227
quants_lab,candle_features,sell_trade_count,,0,5000,5000,1.0,True,5000,5000,int,4 || 1 || 5,sample,1313227
quants_lab,candle_features,signed_base_volume,,0,5000,5000,1.0,True,5000,5000,double,-13.35521 || 1.09375 || 6.27959,sample,1313227
quants_lab,candle_features,signed_quote_volume,,0,5000,5000,1.0,True,5000,5000,double,-31417.1939007 || 2576.048931400001 || 14784.364768799998,sample,1313227
quants_lab,candle_features,source_flags,,0,5000,5000,1.0,True,5000,5000,array,[],sample,1313227
quants_lab,candle_features,spread_abs,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,spread_bps,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,timestamp,,0,5000,5000,1.0,True,5000,5000,int,1773716220 || 1773716160 || 1773716100,sample,1313227
quants_lab,candle_features,top5_ask_qty,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,top5_bid_qty,,0,5000,5000,1.0,True,5000,0,null,null,sample,1313227
quants_lab,candle_features,trade_count,,0,5000,5000,1.0,True,5000,5000,int,4 || 2 || 5,sample,1313227
quants_lab,candle_features,trade_imbalance_ratio,,0,5000,5000,1.0,True,5000,5000,double,-1.0 || 0.0 || 0.6,sample,1313227
quants_lab,candle_features,trade_vwap,,0,5000,5000,1.0,True,5000,5000,double,2352.42979336903 || 2351.696422531266 || 2356.061970482947,sample,1313227
quants_lab,candle_features,trading_pair,,0,5000,5000,1.0,True,5000,5000,string,"""ETH-USDT"" || ""XNV-XMR"" || ""GHOST-XMR""",sample,1313227
quants_lab,candle_features,updated_at,,0,5000,5000,1.0,True,5000,5000,int,1773717071 || 1773716332 || 1773731272,sample,1313227
quants_lab,candle_features,volume_imbalance_ratio,,0,5000,5000,1.0,True,5000,5000,double,-1.0 || 0.13555619 || 0.41994424,sample,1313227
quants_lab,candles,_id,,0,5000,5000,1.0,True,5000,5000,objectId,"{""$oid"": ""69a6081c3963f2b299061764""} || {""$oid"": ""69a6081c3963f2b299061765""} || {""$oid"": ""69a6081c3963f2b299061766""}",sample,9629815
quants_lab,candles,base_asset,,0,5000,5000,1.0,True,5000,5000,string,"""BTC""",sample,9629815
quants_lab,candles,base_volume,,0,5000,5000,1.0,True,5000,5000,double,0.443 || 1.285 || 1.79,sample,9629815
quants_lab,candles,close,,0,5000,5000,1.0,True,5000,5000,double,67312.49 || 67191.21 || 67238.38,sample,9629815
quants_lab,candles,close_ts,,0,5000,5000,1.0,True,5000,5000,int,1772338500 || 1772338800 || 1772339100,sample,9629815
quants_lab,candles,connector,,0,5000,5000,1.0,True,5000,5000,string,"""nonkyc""",sample,9629815
quants_lab,candles,high,,0,5000,5000,1.0,True,5000,5000,double,67408.39 || 67326.31 || 67287.0,sample,9629815
quants_lab,candles,ingested_at,,0,5000,5000,1.0,True,5000,5000,int,1772953582,sample,9629815
quants_lab,candles,interval,,0,5000,5000,1.0,True,5000,5000,string,"""5m""",sample,9629815
quants_lab,candles,is_closed,,0,5000,5000,1.0,True,5000,5000,bool,true,sample,9629815
quants_lab,candles,low,,0,5000,5000,1.0,True,5000,5000,double,67225.44 || 67081.45 || 67191.78,sample,9629815
quants_lab,candles,open,,0,5000,5000,1.0,True,5000,5000,double,67368.44 || 67276.85 || 67211.42,sample,9629815
quants_lab,candles,open_ts,,0,5000,5000,1.0,True,5000,5000,int,1772338200 || 1772338500 || 1772338800,sample,9629815
quants_lab,candles,qc_flags,,0,5000,5000,1.0,True,5000,5000,array,[],sample,9629815
quants_lab,candles,qc_ok,,0,5000,5000,1.0,True,5000,5000,bool,true,sample,9629815
quants_lab,candles,quote_asset,,0,5000,5000,1.0,True,5000,5000,string,"""USDT""",sample,9629815
quants_lab,candles,quote_volume,,0,5000,5000,1.0,True,5000,5000,double,29820.73992 || 86351.55881666667 || 120357.90546666666,sample,9629815
quants_lab,candles,quote_volume_is_estimated,,0,5000,5000,1.0,True,5000,5000,bool,true,sample,9629815
quants_lab,candles,schema_version,,0,5000,5000,1.0,True,5000,5000,int,3,sample,9629815
quants_lab,candles,timestamp,,0,5000,5000,1.0,True,5000,5000,int,1772338200 || 1772338500 || 1772338800,sample,9629815
quants_lab,candles,trading_pair,,0,5000,5000,1.0,True,5000,5000,string,"""BTC-USDT""",sample,9629815
quants_lab,candles,updated_at,,0,5000,5000,1.0,True,5000,5000,int,1773716190,sample,9629815
quants_lab,candles,volume,,0,5000,5000,1.0,True,5000,5000,double,0.443 || 1.285 || 1.79,sample,9629815
quants_lab,market_trades,_id,,0,5000,5000,1.0,True,5000,5000,objectId,"{""$oid"": ""69b8c352f7f2f0931fa01cd2""} || {""$oid"": ""69b8c352f7f2f0931fa01cd3""} || {""$oid"": ""69b8c352f7f2f0931fa01cd4""}",sample,22739575
quants_lab,market_trades,base_volume,,0,5000,5000,1.0,True,5000,5000,double,4.53327 || 4.61058 || 2.30689,sample,22739575
quants_lab,market_trades,connector,,0,5000,5000,1.0,True,5000,5000,string,"""nonkyc"" || ""mexc""",sample,22739575
quants_lab,market_trades,ingested_at,,0,5000,5000,1.0,True,5000,5000,int,1773716306 || 1773716307 || 1773716311,sample,22739575
quants_lab,market_trades,is_buyer_maker,,0,5000,2405,0.481,False,2405,2405,bool,true || false,sample,22739575
quants_lab,market_trades,price,,0,5000,5000,1.0,True,5000,5000,double,2352.06 || 2352.32 || 2352.63,sample,22739575
quants_lab,market_trades,quote_volume,,0,5000,5000,1.0,True,5000,5000,double,10662.5230362 || 10845.5595456 || 5427.2586207,sample,22739575
quants_lab,market_trades,raw,,0,5000,2405,0.481,False,2405,2405,object,"{""id"": null, ""price"": ""75061.61"", ""qty"": ""0.00004011"", ""quoteQty"": ""3.0107211771"", ""time"": 1773717148409, ""isBuyerMaker"": true, ""isBestMatch"": true, ""tradeType"": ""ASK""} || {""id"": null, ""price"": ""75061.61"", ""qty"": ""0.00026562"", ""quoteQty"": ""19.9378648482"", ""time"": 1773717148355, ""isBuyerMaker"": true, ""isBestMatch"": true, ""tradeType"": ""ASK""} || {""id"": null, ""price"": ""75061.61"", ""qty"": ""0.0002656"", ""quoteQty"": ""19.936363616"", ""time"": 1773717148290, ""isBuyerMaker"": true, ""isBestMatch"": true, ""tradeType"": ""ASK""}",sample,22739575
quants_lab,market_trades,raw.id,raw,1,5000,2405,0.481,False,2405,0,null,null,sample,22739575
quants_lab,market_trades,raw.isBestMatch,raw,1,5000,2405,0.481,False,2405,2405,bool,true,sample,22739575
quants_lab,market_trades,raw.isBuyerMaker,raw,1,5000,2405,0.481,False,2405,2405,bool,true || false,sample,22739575
quants_lab,market_trades,raw.price,raw,1,5000,2405,0.481,False,2405,2405,string,"""75061.61"" || ""75054.64"" || ""75053.14""",sample,22739575
quants_lab,market_trades,raw.qty,raw,1,5000,2405,0.481,False,2405,2405,string,"""0.00004011"" || ""0.00026562"" || ""0.0002656""",sample,22739575
quants_lab,market_trades,raw.quoteQty,raw,1,5000,2405,0.481,False,2405,2405,string,"""3.0107211771"" || ""19.9378648482"" || ""19.936363616""",sample,22739575
quants_lab,market_trades,raw.time,raw,1,5000,2405,0.481,False,2405,2405,int,1773717148409 || 1773717148355 || 1773717148290,sample,22739575
quants_lab,market_trades,raw.tradeType,raw,1,5000,2405,0.481,False,2405,2405,string,"""ASK"" || ""BID""",sample,22739575
quants_lab,market_trades,schema_version,,0,5000,5000,1.0,True,5000,5000,int,2,sample,22739575
quants_lab,market_trades,side,,0,5000,5000,1.0,True,5000,5000,string,"""buy"" || ""sell""",sample,22739575
quants_lab,market_trades,source,,0,5000,5000,1.0,True,5000,5000,string,"""ws_trades"" || ""rest_trades""",sample,22739575
quants_lab,market_trades,timestamp,,0,5000,5000,1.0,True,5000,5000,int,1773716285 || 1773716269 || 1773716255,sample,22739575
quants_lab,market_trades,timestampms,,0,5000,5000,1.0,True,5000,5000,int,1773716285432 || 1773716269402 || 1773716255363,sample,22739575
quants_lab,market_trades,trade_id,,0,5000,5000,1.0,True,5000,5000,string,"""ws_69b8c33d4d4d4223aac536a9"" || ""ws_69b8c32d4d4d4223aac52701"" || ""ws_69b8c31f4d4d4223aac51b65""",sample,22739575
quants_lab,market_trades,trading_pair,,0,5000,5000,1.0,True,5000,5000,string,"""ETH-USDT"" || ""XNV-XMR"" || ""GHOST-XMR""",sample,22739575
quants_lab,symbol_metadata,_id,,0,79,79,1.0,True,79,79,objectId,"{""$oid"": ""69b8c34cf7f2f0931fa01a84""} || {""$oid"": ""69b8c34cf7f2f0931fa01a85""} || {""$oid"": ""69b8c34cf7f2f0931fa01a86""}",full,79
quants_lab,symbol_metadata,base_asset,,0,79,79,1.0,True,79,79,string,"""BTC"" || ""ETH"" || ""SOL""",full,79
quants_lab,symbol_metadata,connector,,0,79,79,1.0,True,79,79,string,"""nonkyc"" || ""mexc""",full,79
quants_lab,symbol_metadata,maker_fee,,0,79,79,1.0,True,79,0,null,null,full,79
quants_lab,symbol_metadata,min_notional,,0,79,79,1.0,True,79,0,null,null,full,79
quants_lab,symbol_metadata,min_order_qty,,0,79,79,1.0,True,79,0,null,null,full,79
quants_lab,symbol_metadata,permissions,,0,79,32,0.405063,False,32,32,array,"[""SPOT""]",full,79
quants_lab,symbol_metadata,permissions[],permissions,1,79,32,0.405063,False,32,32,string,"""SPOT""",full,79
quants_lab,symbol_metadata,price_decimals,,0,79,79,1.0,True,79,47,int|null,8 || null,full,79
quants_lab,symbol_metadata,quantity_decimals,,0,79,79,1.0,True,79,47,int|null,8 || null,full,79
quants_lab,symbol_metadata,quantity_step,,0,79,79,1.0,True,79,47,double|null,1e-08 || null,full,79
quants_lab,symbol_metadata,quote_asset,,0,79,79,1.0,True,79,79,string,"""USDT"" || ""XMR"" || ""BTC""",full,79
quants_lab,symbol_metadata,schema_version,,0,79,79,1.0,True,79,79,int,1,full,79
quants_lab,symbol_metadata,source,,0,79,79,1.0,True,79,79,string,"""market_info"" || ""exchangeInfo""",full,79
quants_lab,symbol_metadata,status,,0,79,79,1.0,True,79,79,string,"""ACTIVE"" || ""1""",full,79
quants_lab,symbol_metadata,taker_fee,,0,79,79,1.0,True,79,0,null,null,full,79
quants_lab,symbol_metadata,tick_size,,0,79,79,1.0,True,79,47,double|null,1e-08 || null,full,79
quants_lab,symbol_metadata,trading_pair,,0,79,79,1.0,True,79,79,string,"""BTC-USDT"" || ""ETH-USDT"" || ""SOL-USDT""",full,79
